Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France,FRA,"Population, female",SP.POP.TOTL.FE.IN,24022048,24266964,24515732,24760379,25023265,25289599,25549168,25800623,26035701,26258433,26478606,26702804,26924779,27129480,27308859,27461297,27591720,27726593,27867627,28011455,28171415,28340430,28512437,28673341,28827905,28988968,29151152,29318060,29485857,29647597,29801207,30075115,30236232,30378930,30504379,30626680,30745655,30863380,30984879,31151034,31370713,31606094,31843184,32074754,32317296,32568445,32802688,33013412,33205372,33382387,33553356,33722113,33890643,34069673,34233592,34359025,34452635,34554791,34680632,34801750,34900402,35006272,35123991,35242337
Faroe Islands,FRO,"Population, female",SP.POP.TOTL.FE.IN,16416,16599,16762,16939,17137,17366,17590,17790,17994,18192,18395,18602,18804,19003,19198,19390,19582,19782,20016,20281,20549,20826,21101,21346,21578,21798,22006,22232,22474,22734,22741,22454,22105,21701,21284,21151,21305,21476,21662,21831,22047,22322,22572,22825,23088,23211,23217,23253,23282,23279,23271,23279,23307,23349,23414,23607,23930,24272,24596,24932,25285,25509,25608,25700
"Micronesia, Fed. Sts.",FSM,"Population, female",SP.POP.TOTL.FE.IN,21009,21778,22574,23339,24070,24824,25608,26398,27194,28023,28890,29722,30506,31305,32127,32925,33699,34504,35438,36499,37583,38690,39825,40983,42166,43367,44569,45781,46838,47727,48615,49510,50670,52112,53436,54206,54529,54809,55072,55261,55399,55503,55496,55384,55191,54944,54645,54279,53877,53474,53341,53489,53664,53855,54067,54295,54538,54800,55063,55307,55694,56233,56777,57334
Gabon,GAB,"Population, female",SP.POP.TOTL.FE.IN,262115,265114,268324,271739,275366,279231,283341,287692,292291,297812,304106,310360,316656,323163,329996,337223,344906,353064,361692,370752,380224,390163,400519,411273,422427,433957,445878,458201,470901,483892,497111,510543,524197,538089,552122,566105,580106,594357,608965,623969,639553,655799,672655,690223,708643,728089,748769,770739,794007,818769,845284,873485,902939,933066,963066,992215,1020095,1046814,1072844,1098462,1123751,1148767,1173488,1197990
United Kingdom,GBR,"Population, female",SP.POP.TOTL.FE.IN,27090467,27280397,27496932,27689292,27856762,28024396,28168529,28310001,28437297,28546014,28650499,28759083,28845477,28890515,28898904,28889090,28875455,28860651,28859166,28883344,28918046,28930335,28923024,28937208,28988606,29059522,29131292,29197428,29265403,29342658,29430816,29521874,29600247,29668038,29738839,29811848,29879838,29946015,30020559,30105897,30197282,30296779,30406325,30526615,30678379,30867389,31072904,31293296,31516343,31732553,31960504,32189405,32390769,32584323,32802913,33041408,33270675,33477363,33662065,33835792,33948108,33913559,34291141,34561278
Georgia,GEO,"Population, female",SP.POP.TOTL.FE.IN,1918318,1947679,1976340,2004568,2031846,2057506,2085799,2116663,2146023,2176054,2201980,2225232,2248321,2268447,2288286,2305201,2321571,2336883,2349893,2366937,2385772,2403146,2421391,2441023,2460898,2481749,2503266,2523238,2547425,2553789,2553176,2571401,2592096,2613648,2575389,2481795,2395046,2321218,2265944,2221240,2180268,2148711,2131091,2115806,2099711,2083571,2069236,2055684,2046427,2025467,2007980,1989292,1972269,1964187,1964758,1969065,1971253,1972199,1971912,1969251,1971581,1964929,1967488,1993159
Ghana,GHA,"Population, female",SP.POP.TOTL.FE.IN,3378749,3483445,3578109,3675079,3774468,3876381,3980020,4085702,4193923,4306249,4427324,4551655,4679479,4816752,4959824,5106573,5254551,5415337,5593203,5779312,5963727,6144992,6339741,6553893,6742363,6897669,7058574,7228470,7408850,7598834,7795067,7991633,8188676,8387013,8586206,8789218,8995002,9208514,9431876,9662884,9905777,10167572,10445597,10728320,11014041,11306552,11604406,11906554,12212794,12522583,12831981,13145044,13470314,13802693,14136988,14473575,14814792,15148680,15472613,15798612,16129086,16457496,16780756,17105458
Gibraltar,GIB,"Population, female",SP.POP.TOTL.FE.IN,11393,11413,11539,11739,11941,12154,12370,12598,12824,13047,13274,13450,13569,13680,13784,13874,13963,14048,14120,14182,14236,14281,14291,14259,14203,14127,14029,13897,13742,13567,13366,13194,13190,13309,13428,13535,13611,13685,13763,13832,13898,13931,14030,14220,14416,14628,14838,15043,15241,15445,15664,15878,16096,16218,16250,16297,16320,16334,16351,16366,16372,16352,16341,16355
Guinea,GIN,"Population, female",SP.POP.TOTL.FE.IN,1769969,1801811,1834494,1868136,1902710,1938210,1974671,2012180,2051032,2090740,2130554,2170224,2209724,2249090,2288254,2327451,2366954,2407218,2449061,2493506,2540986,2591484,2645404,2702739,2763482,2828266,2897280,2970401,3046584,3124090,3231211,3359906,3465959,3570631,3676611,3777340,3881753,3966809,4048557,4141344,4227368,4295144,4371013,4468708,4565463,4660236,4760253,4870553,4987979,5109750,5235369,5364456,5495816,5630110,5769149,5914257,6064194,6216323,6370216,6527547,6687118,6846006,7005320,7167023
"Gambia, The",GMB,"Population, female",SP.POP.TOTL.FE.IN,202651,208255,214035,219993,226128,232435,238892,245607,252650,259953,267505,275334,283503,292026,300876,310115,319868,330163,340988,352430,364524,377180,390440,404541,419299,434663,450933,468142,486300,505406,525501,546633,568192,588731,607838,626630,645879,665651,686077,707098,728476,750278,772505,794881,817742,841681,866989,893545,921048,949504,978713,1008766,1039815,1071377,1103078,1134792,1166502,1198214,1229801,1261541,1293962,1326796,1359657,1393072
Guinea-Bissau,GNB,"Population, female",SP.POP.TOTL.FE.IN,287490,289938,293848,297110,295296,289678,286784,288978,294692,297553,300091,302149,303495,307728,318623,337464,358991,382659,407430,421070,425759,432898,440101,447318,454539,461771,469067,476471,484036,491827,499688,510099,524958,542228,558937,572926,584716,595692,606801,618471,630899,644242,658447,673448,689097,705396,722513,740644,759452,778729,798649,819438,841145,863505,886107,908728,931364,953800,976163,998712,1021222,1043505,1065706,1088101
Equatorial Guinea,GNQ,"Population, female",SP.POP.TOTL.FE.IN,135943,138390,140966,143674,146523,149517,152670,155988,159388,161307,160697,158411,155143,151426,147651,144054,140603,138432,138207,139861,144284,151583,161094,171657,182274,192458,201905,210650,219063,227488,236059,244858,253962,263419,272935,282544,292606,303152,314187,325711,339229,354582,370147,386013,402383,419580,437943,457682,478831,501277,524794,547455,569135,591454,614281,637482,660879,684340,707784,731149,751896,771091,790982,810713
Greece,GRC,"Population, female",SP.POP.TOTL.FE.IN,4261408,4298367,4327118,4346484,4365584,4389336,4425274,4464410,4495711,4513834,4525207,4545124,4574309,4594100,4608859,4649172,4718376,4775901,4833100,4887939,4930011,4968082,4992402,5015335,5034705,5048753,5059984,5071679,5085106,5106747,5155693,5212276,5246427,5271466,5292242,5312063,5331659,5354717,5381538,5400308,5421868,5450658,5472047,5487478,5504540,5525472,5547892,5568591,5590605,5613295,5628559,5627949,5605198,5571423,5540073,5508465,5489087,5480681,5471554,5467106,5456292,5391653,5323993,5297371
Grenada,GRD,"Population, female",SP.POP.TOTL.FE.IN,50184,50760,51127,51427,51675,51861,51971,51987,51907,51756,51563,51335,51080,50806,50520,50231,49934,49604,49241,48850,48531,48636,49248,50072,50789,51197,51247,50960,50450,49985,49780,50057,50648,51160,51604,51993,52333,52630,52906,53160,53397,53596,53697,53919,54297,54654,55015,55375,55736,56101,56477,56934,57486,58047,58606,59160,59709,60239,60748,61240,61746,62254,62717,63142
Greenland,GRL,"Population, female",SP.POP.TOTL.FE.IN,15962,16496,17059,17676,18202,18930,19488,20063,20686,21307,21920,22207,22633,22861,22988,22924,22868,22659,22524,22672,22931,23294,23519,23786,24043,24262,24404,24695,25047,25316,25521,25570,25563,25602,25826,25993,26019,26049,26085,26084,26141,26232,26381,26487,26587,26618,26562,26486,26399,26415,26717,26746,26741,26612,26546,26480,26525,26528,26462,26563,26657,26844,26909,27069
Guatemala,GTM,"Population, female",SP.POP.TOTL.FE.IN,2017122,2077759,2140299,2204540,2270180,2336946,2404771,2473212,2541871,2610477,2678750,2746546,2814121,2881743,2950129,3019535,3089790,3162315,3239125,3321256,3409601,3504506,3608489,3716035,3822983,3932890,4046151,4162784,4282517,4405181,4530225,4657117,4784750,4912026,5038658,5165706,5293236,5421410,5552808,5687708,5829545,5972917,6113334,6249771,6385836,6521662,6656988,6791673,6925630,7058856,7191268,7324691,7457240,7590464,7723659,7856056,7987891,8119332,8250539,8380231,8509834,8639673,8767508,8892431
Guam,GUM,"Population, female",SP.POP.TOTL.FE.IN,28046,29096,30177,31285,32420,33574,34731,35891,37046,38172,39387,40751,42160,43571,44962,46319,47670,49017,50337,51705,53086,54395,55651,56865,58066,59266,60465,61674,62910,64113,65391,66843,68328,69787,71222,72644,74031,75353,76647,77951,78996,79644,80115,80486,80760,80945,81046,81088,81076,81020,81214,81624,82041,82418,82710,82982,83220,83401,83492,83522,83914,84655,85329,85960
Guyana,GUY,"Population, female",SP.POP.TOTL.FE.IN,286736,294962,303153,311163,318870,326093,332726,338762,344313,349478,354307,358741,362857,366881,370901,374964,379077,383127,386877,389950,391933,392786,392836,392280,391175,389589,387598,385298,382786,380144,377423,376038,376329,377050,377857,378561,379151,379647,380072,380389,380557,380591,380510,380574,380750,380652,380230,379546,378592,377375,375947,374340,374465,377010,380184,383410,386678,389970,399474,405932,407303,410932,412743,415010
High income,HIC,"Population, female",SP.POP.TOTL.FE.IN,468917321,474468688,480155043,485797496,491447308,497021116,502096274,507037366,511858159,516645330,521409349,526951304,531776193,536491003,541141527,545693793,550050656,554352952,558684570,563173538,567500885,571743500,575752897,579457489,583071599,586699913,590332887,594001740,597731383,601619325,605152059,609379013,613577931,617497631,621183565,624746149,628266086,631671628,634952319,638060944,641014712,643991841,647053084,650195662,653482434,656860825,660638510,664736403,669035205,672978801,676464639,678769391,681824206,685035706,688337294,691427729,694526475,697372915,700108047,702545502,705102889,704877790,706411447,709971402
"Hong Kong SAR, China",HKG,"Population, female",SP.POP.TOTL.FE.IN,1509281,1536078,1604717,1663385,1706635,1754559,1772431,1819896,1860926,1892829,1941477,1982461,2015257,2066529,2126387,2160404,2180916,2205955,2239766,2358797,2415565,2472666,2519478,2567470,2601403,2637378,2678725,2714686,2746490,2783751,2800945,2832323,2864321,2921794,2996040,3063467,3212399,3252163,3292744,3337520,3380202,3419501,3450535,3459990,3503605,3535501,3574074,3619281,3654659,3676363,3717750,3756104,3808534,3833872,3871591,3915630,3945594,3976575,4009595,4040585,4028025,3994078,3961508,4068730
Honduras,HND,"Population, female",SP.POP.TOTL.FE.IN,1037090,1067636,1098927,1131134,1164326,1198601,1233848,1270013,1307377,1346149,1386376,1428242,1471955,1516651,1560562,1606870,1657237,1709152,1762507,1817402,1873747,1931326,1990030,2049910,2110799,2172436,2235090,2298974,2364316,2431535,2500697,2571853,2645110,2720439,2797731,2876838,2957773,3040522,3121099,3203825,3292265,3381604,3471303,3560838,3650279,3739573,3828462,3916700,4003999,4090493,4176200,4261105,4345369,4429055,4512235,4595215,4678163,4761059,4844019,4927035,5008783,5087643,5165506,5246431
Heavily indebted poor countries (HIPC),HPC,"Population, female",SP.POP.TOTL.FE.IN,82382434,84394736,86475708,88626050,90871241,93213623,95625577,98137076,100767914,103482419,106286295,109163904,112072638,115095719,118280675,121560213,124910594,128273082,131921915,135728508,139008694,142041249,145605846,149599789,153746525,157957431,162163563,166524569,171028993,175729790,180376392,185081998,190565346,196600763,202458319,208295162,214309009,220298707,226418497,232794732,239115828,245582009,252808498,260369465,267797843,275459232,283432243,291370473,299569280,308186525,316890371,325863446,335151675,344688839,354672951,364898491,375468846,386450620,397550330,408802314,420301490,431874592,443481605,455368781
Croatia,HRV,"Population, female",SP.POP.TOTL.FE.IN,2173057,2184957,2197537,2209455,2220162,2231213,2243117,2254338,2265383,2276159,2284685,2292661,2301268,2310522,2320512,2331144,2343229,2355498,2366932,2374451,2377336,2383365,2394624,2406505,2417589,2428191,2438181,2447289,2455126,2461366,2466779,2422778,2366201,2379092,2405071,2388619,2357627,2348589,2349945,2343060,2323582,2237696,2239090,2239534,2239699,2241921,2241554,2239962,2238522,2234777,2227947,2218341,2209615,2201417,2190210,2169815,2152392,2124310,2102981,2089106,2077963,1990335,1977699,1975280
Haiti,HTI,"Population, female",SP.POP.TOTL.FE.IN,2001044,2038685,2076670,2113452,2150802,2190272,2229977,2270188,2311097,2352604,2394786,2437633,2480963,2524657,2569415,2616056,2664523,2714729,2766568,2819744,2873908,2929533,2987093,3045852,3105563,3167029,3230697,3296223,3363327,3431711,3500949,3570128,3639023,3708064,3777025,3846577,3917385,3988932,4061127,4134687,4210027,4285558,4360349,4435711,4510238,4585537,4663269,4741167,4819071,4897538,4952137,5006574,5084975,5162748,5240216,5317590,5394724,5471873,5548683,5625310,5701407,5774718,5846285,5919066
Hungary,HUN,"Population, female",SP.POP.TOTL.FE.IN,5167291,5187696,5201875,5213190,5227529,5239919,5253401,5270515,5288471,5308458,5327875,5343896,5360301,5377590,5401573,5433045,5462429,5487676,5506989,5517352,5523039,5527409,5528182,5524204,5518358,5513362,5508308,5503211,5498772,5443686,5392374,5396318,5398951,5398196,5396245,5393842,5388788,5381534,5373133,5362026,5351765,5342651,5330345,5317673,5307818,5297522,5288952,5281064,5271691,5262645,5249848,5231665,5200385,5183716,5167145,5151076,5132281,5114655,5101926,5092862,5077844,5055557,5013379,4979362
IBRD only,IBD,"Population, female",SP.POP.TOTL.FE.IN,946844233,957669289,974751681,997616577,1020504073,1043695730,1068169729,1092504688,1117553399,1143612228,1170304438,1197433522,1223860141,1250160619,1276069580,1301238173,1326267204,1350931815,1375562257,1400624689,1426067483,1452309651,1479895240,1507773137,1535614161,1563956194,1593045665,1622754874,1652590997,1681936734,1710983746,1739399092,1766548837,1793037893,1819250387,1845135117,1870747468,1896121966,1921064020,1945231389,1968501149,1991423933,2013880944,2036066246,2058256334,2080289816,2101717084,2122438533,2143717839,2165405793,2186966884,2209370854,2232996242,2257252106,2281298604,2304607577,2327233484,2349452136,2370248045,2389678345,2407264529,2421957917,2431409105,2444358155
IDA & IBRD total,IBT,"Population, female",SP.POP.TOTL.FE.IN,1141686822,1157439849,1179619822,1207761086,1236134904,1265025891,1295366110,1325775729,1357129993,1389643409,1422796619,1456218584,1489164284,1522483145,1555679276,1588296249,1620874915,1653341117,1686357568,1720280763,1754556795,1789755855,1826916958,1864654810,1902436011,1941025630,1980542220,2020894985,2061523182,2101865982,2141978267,2181524427,2220287531,2258968030,2297429052,2335664040,2373917143,2411954014,2449690091,2486948359,2523723665,2560554031,2597392316,2634109962,2670825839,2707604678,2744224053,2780440841,2817276958,2854915236,2893127921,2932460232,2972682523,3013115456,3053394061,3093412148,3133538970,3173882359,3213335023,3252002473,3289365143,3324112381,3353712448,3387259529
IDA total,IDA,"Population, female",SP.POP.TOTL.FE.IN,194842589,199770560,204868141,210144509,215630831,221330161,227196381,233271041,239576594,246031181,252492181,258785062,265304143,272322526,279609696,287058076,294607711,302409302,310795311,319656074,328489312,337446204,347021718,356881673,366821850,377069436,387496555,398140111,408932185,419929248,430994521,442125335,453738694,465930137,478178665,490528923,503169675,515832048,528626071,541716970,555222516,569130098,583511372,598043716,612569505,627314862,642506969,658002308,673559119,689509443,706161037,723089378,739686281,755863350,772095457,788804571,806305486,824430223,843086978,862324128,882100614,902154464,922303343,942901374
IDA blend,IDB,"Population, female",SP.POP.TOTL.FE.IN,58845872,60331181,61859731,63457553,65123144,66857623,68653971,70503210,72415905,74393276,76430601,78492463,80617337,82864361,85230451,87737444,90374669,93151718,96064975,99171257,102696221,106495282,110204296,113663941,117037050,120671156,124504643,128448984,132496046,136556545,140631631,144760800,148633540,152500805,156578145,160790292,165201005,169642086,174128911,178672324,183586390,188654419,193380708,197976020,202746632,207568932,212491955,217625758,222948328,228494283,234371212,240216788,245680910,250958709,256181299,261481991,266904556,272500068,278294778,284204350,290326536,296593818,302989892,309584726
Indonesia,IDN,"Population, female",SP.POP.TOTL.FE.IN,44298836,45505228,46755916,48049423,49393533,50670788,51914171,53261620,54693876,56192696,57726007,59280005,60852641,62447954,64057961,65683015,67328209,68989822,70673511,72379110,74102204,75833339,77575448,79326498,81064901,82758996,84396961,86004739,87604902,89198541,90771091,92335803,93896001,95452746,97016958,98589133,100173076,101769000,103351567,104895341,106407480,107901551,109376745,110834579,112236510,113637675,115112096,116621886,118134983,119636496,121133510,122648363,124183204,125693504,127158711,128574643,129940374,131253454,132530163,133784436,134930389,135900714,136798063,137826291
IDA only,IDX,"Population, female",SP.POP.TOTL.FE.IN,135996717,139439379,143008410,146686956,150507687,154472538,158542410,162767831,167160689,171637905,176061580,180292599,184686806,189458165,194379245,199320632,204233042,209257584,214730336,220484817,225793091,230950922,236817422,243217732,249784800,256398280,262991912,269691127,276436139,283372703,290362890,297364535,305105154,313429332,321600520,329738631,337968670,346189962,354497160,363044646,371636126,380475679,390130664,400067696,409822873,419745930,430015014,440376550,450610791,461015160,471789825,482872590,494005371,504904641,515914158,527322580,539400930,551930155,564792200,578119778,591774078,605560646,619313451,633316648
Isle of Man,IMN,"Population, female",SP.POP.TOTL.FE.IN,26399,26225,26354,26583,26809,27024,27325,27785,28320,28853,29384,29895,30348,30761,31149,31499,31852,32239,32639,33043,33449,33703,33739,33693,33625,33551,33679,34094,34604,35123,35654,36089,36342,36514,36675,36822,37045,37419,37848,38255,38626,38974,39308,39629,39937,40248,40599,40970,41358,41778,42206,42470,42493,42423,42321,42179,42110,42173,42267,42350,42415,42528,42660,42763
India,IND,"Population, female",SP.POP.TOTL.FE.IN,215819000,220791299,225898332,231120329,236446379,241740859,246951009,252216091,257695427,263380464,269208897,275180236,281308597,287642024,294137889,300723268,307373867,314189303,321198151,328422054,335953058,343719452,351626946,359724278,368029660,376475662,385067312,393755601,402535292,411461378,420468106,429478264,438527953,447615320,456726553,465846665,474932057,484031612,493147162,502255693,511410095,520679574,529978166,539178882,548274218,557161047,565762395,574185530,582492785,590747758,599047591,607376801,615647779,623809180,631697152,639323292,647012921,654607791,661854076,668786993,675389679,681060412,685992675,691776131
Not classified,INX,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Population, female",SP.POP.TOTL.FE.IN,1406396,1405395,1411577,1419942,1426948,1432533,1438452,1445298,1451850,1460582,1473173,1490573,1512633,1536860,1562325,1587921,1611678,1633237,1656484,1679290,1699456,1720493,1738509,1752570,1764962,1769453,1772300,1775247,1771324,1766605,1768019,1777460,1789268,1798456,1806797,1817361,1832169,1850643,1869641,1890190,1914541,1945018,1978879,2010956,2044797,2084299,2136262,2199181,2249608,2278484,2295311,2308722,2320880,2334273,2353302,2376011,2401916,2427413,2456754,2490220,2515614,2539135,2586107,2653866
"Iran, Islamic Rep.",IRN,"Population, female",SP.POP.TOTL.FE.IN,10413283,10695491,10990293,11301097,11629176,11970547,12318631,12668971,13024418,13394993,13785014,14183729,14588585,15009757,15452940,15913627,16386803,16890402,17433233,18026297,18678222,19574777,20521074,21313380,22133113,22964786,23807989,24648094,25458460,26240665,27321946,28427220,29125341,29325118,29449209,29863681,30277819,30733747,31238387,31759367,32308864,32888440,33228012,33525382,34033455,34551612,35065378,35569016,36059993,36554728,37072743,37559635,38062269,38640588,39405613,40336099,41105603,41715123,42283609,42772045,43155308,43496643,43835978,44170373
Iraq,IRQ,"Population, female",SP.POP.TOTL.FE.IN,3582744,3672435,3784275,3912316,4044133,4181151,4323269,4470599,4623958,4783747,4950225,5120686,5295288,5475982,5661027,5849037,6039010,6236881,6443907,6648039,6858453,7072839,7283232,7511326,7758267,7956320,8163006,8397291,8603421,8840284,8950340,9043704,9309748,9760768,10232966,10577414,10915862,11254162,11607960,11984710,12383050,12775683,13184691,13588897,13986188,14410735,14521163,14407413,14692161,15226676,15709180,16258743,16993544,17793123,18414828,18907546,19369155,19826367,20301429,20774818,21259406,21736184,22205751,22698062
Iceland,ISL,"Population, female",SP.POP.TOTL.FE.IN,86883,88549,90177,91770,93444,95094,96695,98236,99569,100520,101061,101921,103469,105053,106469,107855,108986,109869,110791,111916,113152,114481,116035,117668,119026,120044,121010,122370,124296,125872,126918,128480,130152,131470,132621,133388,134165,135310,136804,138528,140457,142323,143668,144693,145804,147560,149906,152841,155939,157502,158077,158835,159816,161389,163141,164598,166298,169093,172511,175683,178482,181577,186202,191856
Israel,ISR,"Population, female",SP.POP.TOTL.FE.IN,1046691,1083470,1138578,1182739,1231791,1276798,1310812,1369686,1399502,1437223,1486372,1534488,1574614,1640264,1690521,1730476,1770743,1812246,1852313,1902131,1950235,1991448,2031090,2070260,2099527,2138984,2174515,2212189,2251138,2291231,2364614,2512485,2601788,2672386,2742624,2816670,2890772,2963110,3030755,3107746,3189721,3264694,3329934,3389251,3448279,3508024,3568903,3631329,3695091,3783259,3850926,3919714,3989651,4061634,4137178,4216926,4297207,4378254,4460839,4544229,4622801,4699259,4790443,4887876
Italy,ITA,"Population, female",SP.POP.TOTL.FE.IN,25854648,26037590,26213928,26397441,26605683,26819950,27019359,27206380,27369807,27518285,27657194,27778782,27935667,28130000,28319449,28495494,28646217,28778223,28892919,28989355,29023901,29032477,29062958,29080183,29093279,29108423,29115969,29124921,29144797,29172721,29203666,29231307,29258597,29283105,29297151,29306546,29322847,29345460,29361495,29373779,29391838,29410285,29450615,29571065,29747782,29883545,29972190,30129102,30336005,30481038,30585093,30643856,30716299,31056458,31329027,31278411,31193971,31109769,31012809,30638263,30481007,30312143,30198875,30089777
Jamaica,JAM,"Population, female",SP.POP.TOTL.FE.IN,862346,872080,881050,890033,899537,909212,918906,928584,938214,948275,959438,972543,987230,1002236,1016941,1030930,1043949,1056361,1068719,1081409,1095088,1109955,1125689,1141487,1156399,1169756,1181152,1190859,1199668,1208531,1217457,1226934,1237428,1248426,1259796,1271271,1282047,1292207,1302213,1311392,1318802,1324943,1331046,1337278,1343774,1350293,1356781,1362545,1367460,1372774,1378388,1384402,1390918,1397059,1402227,1406816,1410867,1413838,1415821,1417116,1420767,1424743,1424998,1424543
Jordan,JOR,"Population, female",SP.POP.TOTL.FE.IN,413911,435462,456445,478030,502949,534276,573043,618434,667712,716374,760744,799192,832400,862721,891850,920443,948774,978011,1008981,1042588,1081027,1124814,1173472,1226422,1282680,1342021,1404666,1470621,1540341,1615655,1694011,1774819,1861488,1951939,2041116,2123362,2195847,2259564,2318090,2374837,2431055,2487807,2546539,2608615,2677114,2749640,2943988,3138903,3218236,3291871,3367031,3455782,3507157,3725930,4160394,4549538,4778803,4902957,5024293,5143079,5257947,5368123,5438953,5468070
Japan,JPN,"Population, female",SP.POP.TOTL.FE.IN,47434416,47855063,48294311,48778588,49279989,49804697,50254891,50768868,51330606,51928754,52513428,53660202,54398884,55150574,55868603,56567115,57165192,57714402,58239277,58735700,59206049,59648209,60074308,60505995,60913170,61309541,61650870,61963243,62236126,62501517,62728216,62995976,63252136,63480813,63683139,63859897,64033555,64215271,64422022,64573919,64716290,64907199,65093948,65270637,65330634,65374871,65451729,65557955,65618491,65637199,65672237,65569426,65480007,65398896,65324683,65267090,65245704,65206949,65140618,65065286,64885399,64594414,64314912,64009039
Kazakhstan,KAZ,"Population, female",SP.POP.TOTL.FE.IN,4821466,4986055,5150305,5313783,5474950,5633055,5788124,5940320,6088926,6226484,6343008,6438046,6527527,6621595,6717859,6815940,6913680,7015367,7121165,7227413,7337393,7452122,7572632,7699561,7829663,7960779,8123116,8319243,8523201,8436600,8482848,8532977,8524847,8496682,8381896,8220169,8108311,7997169,7877753,7815477,7797373,7788399,7791988,7820478,7877124,7949338,8035070,8126518,8277191,8438381,8552136,8668254,8784512,8904870,9029051,9154229,9275967,9393051,9508427,9623458,9743042,9963421,10185836,10314585
Kenya,KEN,"Population, female",SP.POP.TOTL.FE.IN,3910535,4061910,4223183,4393111,4571212,4759032,4954536,5156435,5365508,5580984,5800300,6015733,6231008,6452684,6676963,6902776,7129546,7369217,7626855,7895961,8181266,8483287,8799162,9130745,9474893,9826764,10183316,10545806,10919898,11302974,11692664,12073477,12445537,12817038,13191070,13566081,13937256,14313761,14701779,15116098,15558445,16030683,16517681,17008340,17517645,18040263,18579218,19133373,19707234,20296096,20875000,21439190,21992229,22533107,23061826,23582948,24114618,24652004,25168522,25679257,26205082,26726429,27249938,27796386
Kyrgyz Republic,KGZ,"Population, female",SP.POP.TOTL.FE.IN,1127676,1170157,1209316,1249868,1291015,1330219,1371515,1412349,1453390,1491701,1524186,1555271,1588135,1620869,1655923,1690014,1722726,1754749,1785722,1817521,1849610,1883209,1919168,1957884,1999754,2043393,2088957,2136081,2181455,2232034,2274207,2308087,2331432,2328381,2324438,2345604,2378808,2412286,2448243,2483673,2512284,2535213,2557844,2584242,2614934,2643705,2671501,2696138,2720818,2752856,2784718,2817552,2863524,2919343,2976832,3036877,3097615,3156721,3218986,3286075,3348689,3447311,3550345,3614913
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,2775913,2838198,2901294,2964747,3029485,3095568,3160909,3225825,3290683,3355573,3379892,3391257,3442548,3501198,3547006,3504525,3348247,3228543,3198363,3255563,3334177,3417502,3545857,3677619,3804093,3925641,4065209,4214473,4356677,4501727,4660876,4823655,5024695,5249118,5427475,5566038,5695203,5817046,5938327,6055381,6162331,6269097,6378217,6488659,6600114,6711926,6824167,6939365,7050210,7154373,7258651,7364277,7471081,7578172,7684470,7788391,7892686,7996341,8094239,8186482,8281334,8376956,8468316,8560264
Kiribati,KIR,"Population, female",SP.POP.TOTL.FE.IN,23897,24463,25055,25665,26296,26950,27432,27715,27974,28398,28991,29578,30155,30695,30869,30683,30453,30198,29942,30081,30610,31157,31727,32317,32939,33628,34421,35292,36190,37105,38013,38797,39440,40036,40626,41236,41941,42736,43538,44337,45145,46058,47053,48026,49015,50037,51046,52031,53046,54099,55156,56161,57103,58026,58943,59874,60836,61819,62820,63851,64968,66150,67289,68371
St. Kitts and Nevis,KNA,"Population, female",SP.POP.TOTL.FE.IN,30218,29931,29438,28866,28235,27553,26837,26090,25305,24449,23816,23561,23421,23279,23133,22999,22878,22762,22645,22504,22366,22250,22122,21976,21819,21657,21492,21321,21137,20935,20718,20633,20779,21026,21279,21532,21785,22045,22314,22592,22887,23130,23274,23381,23485,23587,23695,23800,23904,24005,24093,24200,24290,24339,24387,24430,24472,24515,24545,24562,24570,24591,24646,24721
"Korea, Rep.",KOR,"Population, female",SP.POP.TOTL.FE.IN,12489338,12855534,13210403,13563924,13904602,14247148,14605847,14956378,15313681,15670972,16023621,16345322,16652912,16947289,17235516,17526507,17817685,18112175,18404430,18701467,19011317,19322543,19631317,19929832,20182770,20385468,20582576,20772477,20962445,21154831,21346470,21548966,21773212,21992707,22210858,22432247,22645433,22859276,23026003,23190296,23385302,23577705,23737995,23885395,24005609,24081655,24228799,24368149,24570971,24715248,24852253,25034107,25137200,25224087,25356139,25466609,25566204,25654936,25783018,25889856,25938911,25914846,25876625,25908514
Kuwait,KWT,"Population, female",SP.POP.TOTL.FE.IN,124809,138337,153881,171363,190169,210282,234105,262026,291992,322993,352915,380375,406806,434043,462771,494127,524742,553672,583874,614819,645876,678043,712126,747605,781817,815135,852133,892203,932442,972812,740711,595760,722273,729745,708126,702486,717616,738890,760120,781229,802091,822562,842457,861555,879585,915450,978402,1050213,1122360,1194588,1267716,1355253,1456439,1557776,1586002,1569671,1585277,1616950,1661345,1702878,1689384,1659419,1672926,1693808
